,operator_id,direction,calls_count,call_duration,is_missed_call,time_waiting,mean_duration,mean_waiting,calls_count_out,calls_missed_time_waiting,eficiente
189,945298,out,1313,140820,23,25722,107.25057121096725,19.59025133282559,efficient,efficient,True
190,939474,out,561,48796,23,9213,86.98039215686275,16.422459893048128,efficient,efficient,True
191,914050,out,387,39682,23,9034,102.5374677002584,23.343669250645995,efficient,efficient,True
192,948182,out,452,18882,23,8941,41.77433628318584,19.780973451327434,efficient,efficient,True
193,939218,out,359,24720,23,8399,68.85793871866295,23.395543175487465,efficient,efficient,True
194,937988,out,274,15310,23,8134,55.87591240875913,29.686131386861312,efficient,efficient,True
195,940438,out,374,34645,23,4900,92.6336898395722,13.101604278074866,efficient,efficient,True
196,937812,out,187,10752,23,4532,57.49732620320856,24.235294117647058,efficient,efficient,True
197,944220,out,221,15544,23,4023,70.33484162895928,18.20361990950226,efficient,efficient,True
198,887278,out,256,18371,23,2628,71.76171875,10.265625,efficient,efficient,True
199,925922,out,19603,796104,22,420955,40.61133499974494,21.47400908024282,efficient,efficient,True
200,945310,out,3311,322873,22,72239,97.51525218967079,21.81787979462398,efficient,efficient,True
201,945280,out,2399,201113,22,44222,83.8320133388912,18.43351396415173,efficient,efficient,True
202,947616,out,1967,32782,22,32682,16.66598881545501,16.61514997458058,efficient,efficient,True
203,937860,out,1424,52994,22,31292,37.21488764044944,21.974719101123597,efficient,efficient,True
204,940624,out,1166,36221,22,23637,31.064322469982848,20.27186963979417,efficient,efficient,True
205,947620,out,1158,19329,22,19782,16.691709844559586,17.082901554404145,efficient,efficient,True
206,932500,out,1167,40806,22,17871,34.96658097686375,15.313624678663238,efficient,efficient,True
207,947604,out,912,37327,22,17636,40.92872807017544,19.337719298245613,efficient,efficient,True
208,954650,out,837,21233,22,16076,25.367980884109915,19.20669056152927,efficient,efficient,True
209,905870,out,559,33403,22,11730,59.75491949910555,20.983899821109123,efficient,efficient,True
210,933806,out,336,12964,22,6029,38.583333333333336,17.94345238095238,efficient,efficient,True
211,890618,out,270,17167,22,5791,63.58148148148148,21.44814814814815,efficient,efficient,True
